TDS,DEVELOPMENT,BOROUGH,LAT,LON,TOTAL_POP,POP14_18,POP18_24,POP_60_UP,HAS_ECO_HUB,AREA_FLOOD,AREA_BUILD,BUILT,OUTREACH,TDS_OUTREACH,ETT_OUTREACH,RECRUITMENT,TDS_RECRUITMENT,ETT_RECRUITMENT
282.0,RUTLAND TOWERS,BROOKLYN,40.661737,-73.928094,101.0,,3.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,72.0,27.0
283.0,FHA REPOSSESSED HOUSES (GROUP IX),BROOKLYN,40.6794553,-73.90836,28.0,,1.0,,0.0,0.0,0.438943,0,0.0,72.0,13.744578398299842,0.0,72.0,16.0
284.0,FHA REPOSSESSED HOUSES (GROUP X),QUEENS,40.677706,-73.769306,34.0,,4.0,,0.0,0.063279,0.838416,0,0.0,NaN,NaN,0.0,72.0,43.0
286.0,CAMPOS PLAZA II,MANHATTAN,40.7284368,-73.977074,495.0,,57.0,,0.0,1.956413,0.799952,0,0.0,23.0,13.747695850238879,0.0,23.0,11.0
287.0,TWIN PARKS EAST (SITE 9),BRONX,40.8471161,-73.887986,237.0,,0.0,,0.0,0.0,0.836212,0,0.0,NaN,NaN,0.0,59.0,25.0
292.0,LOWER EAST SIDE REHAB (GROUP 5),MANHATTAN,40.7238194,-73.979214,118.0,,15.0,,0.0,0.42645,0.166684,0,0.0,23.0,8.781885270768854,0.0,23.0,7.0
304.0,EAST 165TH STREET-BRYANT AVENUE,BRONX,40.8249526,-73.8889,353.0,,61.0,,0.0,0.0,2.04155217799754,0,0.0,NaN,NaN,0.0,59.0,20.0
305.0,SOUTH BRONX AREA (SITE 402),BRONX,40.8210578,-73.908297,377.0,,70.0,,0.0,0.0,0.0,0,0.0,59.0,11.599574386186399,0.0,59.0,10.0
307.0,CLAREMONT REHAB (GROUP 2),BRONX,40.8326077,-73.910465,243.0,,33.0,,0.0,0.0,0.250785,0,0.0,NaN,NaN,0.0,59.0,18.0
308.0,CLAREMONT REHAB (GROUP 3),BRONX,40.8295251,-73.913217,250.0,,29.0,,0.0,0.0,0.325901,0,0.0,NaN,NaN,0.0,59.0,19.0
311.0,BEDFORD-STUYVESANT REHAB,BROOKLYN,40.6944926,-73.942258,188.0,,21.0,,0.0,0.0,0.226547,0,0.0,NaN,NaN,0.0,60.0,38.0
312.0,CROWN HEIGHTS,BROOKLYN,40.6722428,-73.92332,239.0,,22.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,72.0,18.0
313.0,OCEAN HILL-BROWNSVILLE,BROOKLYN,40.6759822,-73.919402,294.0,,38.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,72.0,17.0
314.0,NEW LANE AREA,STATEN ISLAND,40.6128354,-74.062046,341.0,,0.0,,0.0,0.538983,1.58815746770229,0,0.0,NaN,NaN,0.0,NaN,NaN
315.0,VANDALIA AVENUE,BROOKLYN,40.6501526,-73.887022,317.0,,0.0,,0.0,0.0,1.88356900658996,0,0.0,NaN,NaN,0.0,92.0,28.0
316.0,INTERNATIONAL TOWER,QUEENS,40.7082403,-73.790524,175.0,,0.0,,0.0,0.0,0.284985,0,0.0,NaN,NaN,0.0,72.0,43.0
325.0,BROWN,BROOKLYN,40.6729384,-73.913065,216.0,,0.0,,0.0,0.0,1.2228978852472,0,0.0,72.0,6.915677638055106,0.0,72.0,8.0
326.0,LOWER EAST SIDE I INFILL,MANHATTAN,40.7214526,-73.990356,347.0,,23.0,,0.0,0.0,1.01697709338405,0,0.0,NaN,NaN,0.0,60.0,14.0
333.0,STUYVESANT GARDENS II,BROOKLYN,40.6881981,-73.930588,166.0,,0.0,,0.0,0.0,0.851116,0,0.0,NaN,NaN,0.0,60.0,40.0
334.0,CLAREMONT PARKWAY-FRANKLIN AVENUE,BRONX,40.8370759,-73.900939,272.0,,25.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,59.0,20.0
335.0,CLAREMONT REHAB (GROUP 4),BRONX,40.8312771,-73.911952,311.0,,40.0,,0.0,0.0,0.386259,0,0.0,NaN,NaN,0.0,59.0,22.0
336.0,CLAREMONT REHAB (GROUP 5),BRONX,40.8309563,-73.913802,283.0,,28.0,,0.0,0.0,0.567336,0,0.0,NaN,NaN,0.0,59.0,21.0
337.0,LOWER EAST SIDE II,MANHATTAN,40.7229678,-73.979357,421.0,,40.0,,0.0,3.011322,1.82795171376599,0,0.0,23.0,7.549860399682532,0.0,23.0,5.0
338.0,EAST 173RD STREET-VYSE AVENUE,BRONX,40.8336676,-73.888257,383.0,,50.0,,0.0,0.0,2.30528349700593,0,0.0,NaN,NaN,0.0,59.0,20.0
339.0,HOWARD AVENUE,BROOKLYN,40.6674776,-73.919872,354.0,,47.0,,0.0,0.0,0.0,0,0.0,NaN,NaN,0.0,72.0,15.0
